date,GS,JPM,MS,C,BCS,CS,UBS,DB,^VIX,^DJI,^IXIC,^GSPC,^BSESN,^FTSE,^N225,^HSI,^BVSP,^BUK100P,^N100,VGLT,VGSH,VGIT,SPTS,JPST,VCSH,VCIT,VMBS,JNK,USDJPY,USDGBP,USDEUR,USDCHF,USDCAD,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum
2010-01-04,173.08,42.85,30.91,34.0,16.89,50.77,16.02,69.88,20.040001,10583.959961,2308.419922,1132.98999,17558.730469,5500.299805,10654.790039,21823.279297,70045.0,,696.98999,57.36,59.76,58.9,,,75.53,75.16,49.7,117.96,92.495003,0.62059,0.69329,1.0291,1.041,,,173.08,173.08,0.0,,,,173.08,172.08,5.1479594849594745
2010-01-05,176.14,43.68,32.04,35.3,17.82,51.19,16.14,71.21,19.35,10572.019531,2308.709961,1136.52002,17686.240234,5522.5,10681.830078,22279.580078,70240.0,,697.570007,57.84,59.88,59.2,,,75.64,75.66,49.81,119.07,91.584999,0.62536,0.69609,1.0337,1.0395,,,174.66884615384612,174.7375,0.06865384615389303,,,,175.37499999999997,175.14,5.1655856540940785
2010-01-06,174.26,43.92,32.45,36.4,18.13,50.48,16.09,69.98,19.16,10573.679688,2301.090088,1137.140015,17701.130859,5530.0,10731.450195,22416.669922,70729.0,,698.27002,57.39,59.84,59.07,,,75.86,75.5,49.81,119.46,92.356003,0.62407,0.69425,1.0276,1.0319,,,174.52195170034497,174.55113163972288,0.029179939377911523,,,,174.6030769230769,173.26,5.154793356461994
2010-01-07,177.67,44.79,32.92,36.5,18.8,52.52,16.15,70.77,19.059998999999998,10606.860352,2300.050049,1141.689941,17615.720703,5526.700195,10681.660156,22269.449219,70451.0,,697.76001,57.25,59.85,59.08,,,75.81,75.74,49.83,119.85,93.389999,0.62759,0.6984199999999999,1.0336,1.034,,,175.40200843654128,175.53563649425288,0.13362805771160424,,,,176.67325,176.67,5.174283585624589
2010-01-08,174.31,44.68,32.25,35.9,18.97,53.29,16.74,73.33,18.129998999999998,10618.19043,2317.169922,1144.97998,17540.289063,5534.200195,10798.320313,22296.75,70263.0,,701.380005,57.15,59.9,59.15,,,75.87,75.82,49.83,120.3,92.660004,0.6240600000000001,0.69391,1.0236,1.0298,,,175.14876717601055,175.2026354391606,0.053868263150036455,,,,175.09123966942153,173.31,5.155081898461284
2010-01-11,171.56,44.53,32.04,36.3,19.01,52.81,16.8,72.92,17.549999,10663.990234,2312.409912,1146.97998,17526.710938,5538.100098,,22411.519531,70433.0,,700.719971,57.14,59.96,59.17,,,75.94,75.79,49.87,120.18,92.092003,0.62062,0.68912,1.0167,1.0338,,,174.4299657336358,174.3172833891062,-0.11268234452961678,,,,172.73384615384617,170.56,5.139087140977479
2010-01-12,167.82,43.49,31.13,35.2,18.74,51.99,16.37,70.71,18.25,10627.259766,2282.310059,1136.219971,17422.509766,5498.700195,10879.139648,22326.640625,70076.0,,693.5,57.71,59.93,59.4,,,75.95,76.17,50.02,119.88,91.08000200000001,0.6191300000000001,0.69077,1.0188,1.0392,173.54857142857142,,173.25441759306273,172.8674373330871,-0.3869802599756156,,,,169.45645013723697,166.82,5.116915386813465
2010-01-13,169.07,44.25,31.26,35.0,19.1,52.08,16.27,70.32,17.85,10680.769531,2307.899902,1145.680054,17509.800781,5473.5,10735.030273,21748.599609,70385.0,,694.4400019999997,57.37,59.95,59.26,,,75.94,75.94,49.97,119.55,91.432999,0.61402,0.68852,1.0176,1.0308,172.97571428571428,,172.58020423595806,172.07497069197652,-0.5052335439815465,,,,169.19877743902438,168.07,5.1243805592884755
2010-01-14,168.53,44.69,31.2,35.1,19.34,52.12,16.31,69.94,17.629998999999994,10710.549805,2316.73999,1148.459961,17584.869141,5498.200195,10907.679688,21716.949219,69801.0,,696.320007,57.56,60.0,59.42,,,76.13,76.1,49.95,119.82,91.266998,0.61222,0.68966,1.0186,1.0234,171.8885714285714,,171.97987505431053,171.37364931305353,-0.606225741256992,,,,168.75290316024794,167.53,5.121162439705441
2010-01-15,165.21,43.68,30.38,34.2,18.71,49.45,15.66,66.54,17.91,10609.650391,2287.98999,1136.030029,17554.300781,5455.399902,10982.099609,21654.160156,68978.0,,687.700012,58.29,60.05,59.6,,,76.22,76.21,50.14,119.31,90.75,0.61463,0.69488,1.0249,1.0290000000000001,170.59571428571425,,171.04569818589667,170.2056401636977,-0.8400580221989742,,,,166.39092771982118,164.21,5.101146096503746
2010-01-19,166.86,43.28,31.16,35.4,18.96,49.8,15.69,67.48,17.58,10725.429688,2320.399902,1150.22998,17486.060547,5513.100098,10764.900391,21677.980469,69909.0,,695.869995,58.17,60.06,59.51,,,75.95,76.04,50.13,119.61,91.19899699999999,0.61137,0.70023,1.0326,1.0317,169.05142857142852,,170.50281180515478,169.59346868282316,-0.9093431223316202,,,,166.7036443385682,165.86,5.111144059023058
2010-01-20,167.79,43.4,30.63,34.6,18.23,48.15,15.22,65.53,18.68,10603.150391,2291.25,1138.040039,17474.490234,5420.799805,10737.519531,21286.169922,68200.0,,684.820007,58.54,60.04,59.6,,,76.08,76.08,50.17,118.89,91.192001,0.61357,0.7087,1.0436,1.0452,168.11999999999995,,170.16950013071224,169.27281787155164,-0.896682259160599,,,,167.42788280897184,166.79,5.116735536089082
2010-01-21,160.87,40.54,29.34,32.7,16.79,46.3,14.66,62.6,22.27,10389.879883,2265.699951,1116.47998,17051.140625,5335.100098,10868.410156,20862.669922,66270.0,,674.580017,58.79,60.11,59.82,,,76.18,76.32,50.22,116.97,90.39299799999999,0.6170899999999999,0.70937,1.0416,1.0506,166.5928571428571,,169.08006536778325,167.8137694703434,-1.2662958974398464,,,,163.05595819414148,159.87,5.074360984976801
2010-01-22,154.12,39.16,27.8,32.5,15.76,43.36,14.01,59.29,27.309998999999998,10172.980469,2205.290039,1091.76001,16859.679688,5303.0,10590.549805,20726.179688,66220.0,,667.98999,58.84,60.14,59.83,,,76.17,76.41,50.17,115.86,89.809998,0.62073,0.70716,1.0418,1.0574,164.63571428571422,,167.39987199073616,165.4821577470651,-1.917714243671071,,,,157.09865148585567,153.12,5.031221927704644
2010-01-25,154.98,39.21,27.74,32.3,16.61,45.21,14.14,60.95,25.41,10196.860352,2210.800049,1096.780029,16780.460938,5260.299805,10512.69043,20598.550781,,,663.119995,58.57,60.12,59.78,,,76.18,76.25,50.17,116.67,90.415001,0.61538,0.7067100000000001,1.04,1.0569,162.6228571428571,,166.05634607143864,163.72286653376534,-2.3334795376732984,,,,155.6862170635169,153.98,5.0368227238499035
2010-01-26,150.88,38.44,27.33,31.5,16.21,43.88,13.61,58.96,24.549999,10194.290039,2203.72998,1092.170044,,5276.899902,10325.280273,20109.330078,65524.0,,666.719971,58.57,60.09,59.8,,,76.17,76.1,50.19,116.7,89.629997,0.61931,0.71011,1.0459,1.0621,160.10142857142856,,164.4687756016591,161.6004815787744,-2.8682940228846974,,,,152.48207228007152,149.88,5.009834973925487
2010-01-27,151.5,39.33,27.95,32.0,16.37,44.23,13.69,59.74,23.139999,10236.160156,2221.409912,1097.5,16289.820313,5217.5,10252.080078,20033.070313,65070.0,,660.73999,58.63,60.08,59.85,,,76.08,75.93,50.23,117.06,89.949997,0.61812,0.7127100000000001,1.0497,1.0636,158.1428571428571,,163.15233162347002,159.9501307196596,-3.2022009038104216,,,,151.82735742162072,150.5,5.01396308418893
2010-01-28,153.29,39.48,27.49,32.4,15.95,43.42,13.55,58.67,23.73,10120.459961,2179.0,1084.530029,16306.870116999999,5145.700195,10414.290039,20356.369141,65588.0,,651.409973,58.39,60.13,59.75,,,76.05,75.87,50.24,116.91,89.77799999999998,0.61946,0.71592,1.0518,1.0661,156.2042857142857,,162.17795064686555,158.87220122053182,-3.3057494263337333,,,,152.80245247639044,152.29,5.0257865978636
2010-01-29,148.72,38.94,26.78,33.2,15.77,42.17,13.01,58.18,24.620001000000002,10067.330078,2147.350098,1073.869995,16357.959961000002,5188.5,10198.040039,20121.990234,65402.0,,658.880005,58.71,60.12,59.83,,,75.97,75.96,50.17,116.64,90.269997,0.62559,0.72114,1.0608,1.07,153.48,,160.88040946941766,157.24213048503097,-3.6382789843866874,,,,150.08081748978847,147.72,4.995318589984363
2010-02-01,153.13,39.63,27.56,33.4,16.62,43.79,13.31,60.54,22.59,10185.530273,2171.199951,1089.189941,16356.030272999995,5247.399902,10205.019531,20243.75,66572.0,,663.76001,58.42,60.1,59.71,,,76.0,75.89,50.17,115.83,90.760002,0.6268600000000001,0.7180300000000001,1.0564,1.0617,152.3742857142857,,160.1494869474324,156.58627876249503,-3.5632081849373662,9.607375168670117,,,152.11360583051248,152.13,5.0247354184750375
2010-02-02,156.94,40.55,28.06,34.1,17.15,45.48,13.61,62.4,21.48,10296.849609,2190.060059,1103.319946,16163.44043,5283.299805,10371.089844,20272.179688,67163.0,,670.869995,58.4,60.12,59.73,,,75.98,75.93,50.13,116.07,90.428001,0.62531,0.7155,1.0547,1.05718,152.77714285714288,163.6538095238095,159.85281073970924,156.6423777300142,-3.2104330096950378,9.480630600279053,182.61507072436763,144.6925483232514,155.33120194381178,155.94,5.049471317881454
2010-02-03,157.23,40.29,27.89,33.7,17.35,44.57,13.8,61.15,21.6,10270.549805,2190.909912,1097.280029,16496.050781,5253.200195,10404.330078,20722.080078,67109.0,,667.320007,57.93,60.08,59.61,,,75.93,75.71,50.14,116.04,90.839996,0.6281399999999999,0.71937,1.0581,1.0618,153.09857142857143,162.8990476190476,159.61473707144114,156.73513197475486,-2.8796050966862765,9.053701830859326,181.00645128076624,144.79164395732894,156.59706731464428,156.23,5.051329280423812
2010-02-04,150.68,38.35,26.63,31.8,15.69,40.86,12.95,56.87,26.08,10002.179688,2125.429932,1063.109985,16224.950195,5139.299805,10355.980469,20341.640625,63934.0,,647.969971,58.53,60.16,59.82,,,76.1,76.04,50.26,113.79,89.410004,0.63412,0.72754,1.0656,1.072,153.07000000000002,161.68666666666664,158.81704565549612,155.7831577169456,-3.033887938550521,8.940245257438873,179.5671571815444,143.8061761517889,152.6523557715062,149.68,5.0084996819658345
2010-02-05,154.16,38.3,27.26,32.2,15.77,40.49,13.11,56.81,26.110001,10012.230469,2141.1201170000004,1066.189941,15790.929688,5060.899902,10057.089844,19665.080078,62763.0,,628.73999,58.77,60.22,60.08,,,76.09,76.02,50.32,112.8,89.220001,0.63865,0.7309899999999999,1.0722,1.0709,153.45000000000005,160.72952380952378,158.40749315229826,155.5288260091885,-2.878667143109766,8.151911545282228,177.03334690008825,144.42570071895932,153.65745192383895,153.16,5.031483126609094
2010-02-08,151.1,37.7,26.6,31.5,15.15,39.35,12.84,55.25,26.51,9908.389648,2126.050049,1056.73999,15935.610352000005,5092.299805,9951.820313,19550.890625,63153.0,,634.869995,58.86,60.2,59.99,,,76.07,75.99,50.28,113.1,89.220001,0.6420100000000001,0.73235,1.0728,1.0745799999999999,153.1371428571429,159.4642857142857,157.77364404448537,154.83684316877344,-2.936800875711924,7.624972545248276,174.71423080478223,144.21434062378916,151.95248397461094,150.1,5.011301738639416
2010-02-09,152.49,38.39,27.13,31.8,15.84,41.45,12.81,59.37,26.0,10058.639648,2150.8701170000004,1070.52002,16042.179688,5111.799805,9932.900391,19790.279297,64718.0,,636.75,58.35,60.13,59.87,,,76.0,75.83,50.26,113.37,89.76799799999998,0.6371899999999999,0.72558,1.0652,1.0672,153.67571428571432,158.4252380952381,157.3210748509406,154.47103775698002,-2.850037093960566,7.110053131047353,172.6453443573328,144.20513183314338,152.3108279915371,151.49,5.020519616170232
2010-02-10,153.63,38.87,27.51,32.0,16.05,42.35,12.82,59.87,25.4,10038.379883,2147.8701170000004,1068.130005,15922.169922,5132.0,9963.990234,19922.220703,65051.0,,640.52002,57.9,60.08,59.68,,,75.92,75.44,50.19,111.72,89.93,0.64053,0.7271,1.0664,1.062,153.74714285714285,157.57142857142858,157.00853617679417,154.34020908100612,-2.668327095788044,6.753287620426887,171.07800381228236,144.0648533305748,153.19027599717919,152.63,5.02801669192703
2010-02-11,154.05,39.02,27.12,32.1,15.75,42.21,12.74,58.97,23.959999,10144.19043,2177.409912,1078.469971,16152.589844,5161.5,,20290.689453,66129.0,,639.27002,57.65,60.09,59.67,,,75.85,75.37,50.08,111.51,89.809998,0.63686,0.7309,1.0707,1.0502,153.3342857142857,156.91571428571427,156.7606521941576,154.29514231420575,-2.4655098799518385,6.156045039334617,169.2278043643835,144.60362420704504,153.7634253323931,153.05,5.0307646653914215
2010-02-12,153.93,38.95,27.16,31.8,15.37,41.92,12.73,57.8,22.73,10099.139648,2183.530029,1075.51001,,5142.5,10092.19043,20268.689453,65855.0,,636.969971,57.84,60.14,59.83,,,75.93,75.42,50.13,111.81,89.949997,0.63702,0.73341,1.0751,1.05045,152.86285714285714,156.1947619047619,156.52576432116166,154.2385209056926,-2.2872434154690495,5.456336345551844,167.10743459586558,145.2820892136582,153.8744751107977,152.93,5.029980300360032
2010-02-16,157.4,40.07,27.82,33.1,17.54,44.18,13.56,60.86,22.25,10268.80957,2214.189941,1094.869995,16226.679688,5244.100098,10034.25,,,,645.900024,58.03,60.18,59.91,,,75.93,75.58,50.14,113.04,90.244003,0.63331,0.72637,1.0658,1.0434,153.82285714285715,155.6647619047619,156.59766812813092,154.72816336683158,-1.8695047612993392,4.9902798940593724,165.64532169288063,145.68420211664315,156.22482503693257,156.4,5.052416828111211
2010-02-17,157.26,40.04,27.39,34.1,17.58,43.5,13.55,60.53,21.719998999999998,10309.240234,2226.290039,1099.51001,16428.910156,5276.600098,10306.830078,20534.009766,67285.0,,655.51001,57.41,60.12,59.66,,,75.9,75.29,50.08,113.91,91.050003,0.63767,0.73492,1.07758,1.0462,154.26571428571427,155.28619047619046,156.6517017044578,155.11988422195137,-1.5318174825064261,4.208981468241527,163.70415341267352,146.8682275397074,156.91494167897753,156.26,5.051521286568598
